CODIGO;MUNICIPIO;POBLACIÓN
1101;IQUIQUE;216514
1107;ALTO HOSPICIO;124150
1401;POZO ALMONTE;16683
1402;CAMIÑA;1345
1403;COLCHANE;1556
1404;HUARA;2914
1405;PICA;5744
2101;ANTOFAGASTA;410618
2102;MEJILLONES;14143
2103;SIERRA GORDA;1690
2104;TALTAL;13371
2201;CALAMA;184036
2202;OLLAGÜE;284
2203;SAN PEDRO DE ATACAMA;10013
2301;TOCOPILLA;27659
2302;MARÍA ELENA;6749
3101;COPIAPÓ;169528
3102;CALDERA;19149
3103;TIERRA AMARILLA;14187
3201;CHAÑARAL;13123
3202;DIEGO DE ALMAGRO;14408
3301;VALLENAR;56544
3302;ALTO DEL CARMEN;5677
3303;FREIRINA;7589
3304;HUASCO;11102
4101;LA SERENA;244170
4102;COQUIMBO;250947
4103;ANDACOLLO;11730
4104;LA HIGUERA;4408
4105;PAIGUANO;4645
4106;VICUÑA;29402
4201;ILLAPEL;32610
4202;CANELA;9516
4203;LOS VILOS;23011
4204;SALAMANCA;28772
4301;OVALLE;119936
4302;COMBARBALÁ;13834
4303;MONTE PATRIA;32352
4304;PUNITAQUI;12021
4305;RÍO HURTADO;4372
5101;VALPARAÍSO;313185
5102;CASABLANCA;28722
5103;CONCÓN;45121
5104;JUAN FERNÁNDEZ;1010
5105;PUCHUNCAVÍ;19688
5107;QUINTERO;35341
5109;VIÑA DEL MAR;357228
5201;ISLA DE PASCUA;8073
5301;LOS ANDES;67583
5302;CALLE LARGA;16107
5303;RINCONADA;11010
5304;SAN ESTEBAN;20276
5401;LA LIGUA;37411
5402;CABILDO;20554
5403;PAPUDO;6118
5404;PETORCA;10495
5405;ZAPALLAR;7866
5501;QUILLOTA;96310
5502;CALERA;53298
5503;HIJUELAS;18924
5504;LA CRUZ;24564
5506;NOGALES;23356
5601;SAN ANTONIO;95946
5602;ALGARROBO;14863
5603;CARTAGENA;24832
5604;EL QUISCO;17367
5605;EL TABO;14038
5606;SANTO DOMINGO;11703
5701;SAN FELIPE;82312
5702;CATEMU;15023
5703;LLAILLAY;26232
5704;PANQUEHUE;7553
5705;PUTAENDO;17471
5706;SANTA MARÍA;16150
5801;QUILPUÉ;164783
5802;LIMACHE;49285
5803;OLMUÉ;18946
5804;VILLA ALEMANA;136711
6101;RANCAGUA;261992
6102;CODEGUA;13914
6103;COINCO;7753
6104;COLTAUCO;20971
6105;DOÑIHUE;22385
6106;GRANEROS;35950
6107;LAS CABRAS;26403
6108;MACHALÍ;58398
6109;MALLOA;14081
6110;MOSTAZAL;27100
6111;OLIVAR;14480
6112;PEUMO;14882
6113;PICHIDEGUA;20581
6114;QUINTA DE TILCOCO;13727
6115;RENGO;62958
6116;REQUINOA;29922
6117;SAN VICENTE;50016
6201;PICHILEMU;17584
6202;LA ESTRELLA;3107
6203;LITUECHE;6694
6204;MARCHIHUE;7581
6205;NAVIDAD;6818
6206;PAREDONES;6353
6301;SAN FERNANDO;77763
