CODIGO;MUNICIPIO;PRESUPUESTO
1101;IQUIQUE;59072234
1107;ALTO HOSPICIO;13984411
1401;POZO ALMONTE;7613962
1402;CAMIÑA;1584008
1403;COLCHANE;2500000
1404;HUARA;3950000
1405;PICA;5887820
2101;ANTOFAGASTA;100635302
2102;MEJILLONES;9379132
2103;SIERRA GORDA;8184166
2104;TALTAL;7055873
2201;CALAMA;46212087
2202;OLLAGÜE;2663357
2203;SAN PEDRO DE ATACAMA;7294095
2301;TOCOPILLA;5402459
2302;MARÍA ELENA;4283360
3101;COPIAPÓ;29543912
3102;CALDERA;9127075
3103;TIERRA AMARILLA;6147200
3201;CHAÑARAL;4435860
3202;DIEGO DE ALMAGRO;6284308
3301;VALLENAR;9106767
3302;ALTO DEL CARMEN;3318171
3303;FREIRINA;2998977
3304;HUASCO;3946468
4101;LA SERENA;59222000
4102;COQUIMBO;56819394
4103;ANDACOLLO;3586345
4104;LA HIGUERA;4090360
4105;PAIGUANO;4780000
4106;VICUÑA;8069308
4201;ILLAPEL;6299700
4202;CANELA;3000000
4203;LOS VILOS;7103931
4204;SALAMANCA;12768287
4301;OVALLE;21711795
4302;COMBARBALÁ;3110695
4303;MONTE PATRIA;6681407
4304;PUNITAQUI;3318380
4305;RÍO HURTADO;2090300
5101;VALPARAÍSO;77718000
5102;CASABLANCA;11386627
5103;CONCÓN;13684060
5104;JUAN FERNÁNDEZ;1629692
5105;PUCHUNCAVÍ;7683900
5107;QUINTERO;12250000
5109;VIÑA DEL MAR;100482380
5201;ISLA DE PASCUA;9914468
5301;LOS ANDES;12991512
5302;CALLE LARGA;3549414
5303;RINCONADA;5259050
5304;SAN ESTEBAN;3009539
5401;LA LIGUA;6967050
5402;CABILDO;3876999
5403;PAPUDO;5947500
5404;PETORCA;3544127
5405;ZAPALLAR;20408830
5501;QUILLOTA;17248430
5502;CALERA;7747450
5503;HIJUELAS;4283417
5504;LA CRUZ;5703367
5506;NOGALES;4696549
5601;SAN ANTONIO;21518873
5602;ALGARROBO;No Recepcionado
5603;CARTAGENA;11380129
5604;EL QUISCO;12353172
5605;EL TABO;9582451
5606;SANTO DOMINGO;13339600
5701;SAN FELIPE;18346041
5702;CATEMU;3359823
5703;LLAILLAY;5133425
5704;PANQUEHUE;2542648
5705;PUTAENDO;4206900
5706;SANTA MARÍA;3513325
5801;QUILPUÉ;24359486
5802;LIMACHE;8872592
5803;OLMUÉ;4910700
5804;VILLA ALEMANA;16687000
6101;RANCAGUA;55996193
6102;CODEGUA;3831532
6103;COINCO;2753210
6104;COLTAUCO;4252840
6105;DOÑIHUE;5290000
6106;GRANEROS;5027111
6107;LAS CABRAS;6916345
6108;MACHALÍ;10406400
6109;MALLOA;3316329
6110;MOSTAZAL;No Recepcionado
6111;OLIVAR;3493651
6112;PEUMO;3625811
6113;PICHIDEGUA;3825757
6114;QUINTA DE TILCOCO;2697393
6115;RENGO;8968799
6116;REQUINOA;6363928
6117;SAN VICENTE;8763198
6201;PICHILEMU;10384795
6202;LA ESTRELLA;2490942
6203;LITUECHE;3210790
